Timestamp,LR,Type,Epoch,Accuracy,Precision,Recall,F1
2023-06-05T18:08:02.103850,0.1,LeNet5,1,0.10000000149011612,0.009800000116229057,0.10000000149011612,0.017850635573267937
2023-06-05T18:08:13.341775,0.1,LeNet5,2,0.10000000149011612,0.010100000537931919,0.10000000149011612,0.018346959725022316
2023-06-05T18:08:24.784414,0.1,LeNet5,3,0.10000000149011612,0.009820000268518925,0.10000000149011612,0.01788381114602089
2023-06-05T18:08:36.367403,0.1,LeNet5,4,0.10000000149011612,0.010320000350475311,0.10000000149011612,0.01870921067893505
2023-06-05T18:08:47.946660,0.1,LeNet5,5,0.10000000149011612,0.010320000350475311,0.10000000149011612,0.01870921067893505
2023-06-05T18:08:59.329950,0.1,LeNet5,6,0.10000000149011612,0.00957999937236309,0.10000000149011612,0.017484942451119423
2023-06-05T18:09:10.781890,0.1,LeNet5,7,0.10000000149011612,0.009800000116229057,0.10000000149011612,0.017850635573267937
2023-06-05T18:09:22.293892,0.1,LeNet5,8,0.10000000149011612,0.010320000350475311,0.10000000149011612,0.01870921067893505
2023-06-05T18:09:33.785250,0.1,LeNet5,9,0.10000000149011612,0.009820000268518925,0.10000000149011612,0.01788381114602089
2023-06-05T18:09:45.646547,0.1,LeNet5,10,0.10000000149011612,0.00957999937236309,0.10000000149011612,0.017484942451119423
2023-06-05T18:09:57.041847,0.1,LeNet5,11,0.10000000149011612,0.011350000277161598,0.10000000149011612,0.020386170595884323
2023-06-05T18:10:08.261830,0.1,LeNet5,12,0.10000000149011612,0.008919999934732914,0.10000000149011612,0.016378993168473244
2023-06-05T18:10:19.736590,0.1,LeNet5,13,0.10000000149011612,0.010089999996125698,0.10000000149011612,0.01833045668900013
2023-06-05T18:10:30.938136,0.1,LeNet5,14,0.10000000149011612,0.00974000059068203,0.10000000149011612,0.017751049250364304
2023-06-05T18:10:42.543963,0.1,LeNet5,15,0.10000000149011612,0.008919999934732914,0.10000000149011612,0.016378993168473244
2023-06-05T18:10:53.970914,0.1,LeNet5,16,0.10000000149011612,0.009820000268518925,0.10000000149011612,0.01788381114602089
2023-06-05T18:11:05.363298,0.1,LeNet5,17,0.10000000149011612,0.008919999934732914,0.10000000149011612,0.016378993168473244
2023-06-05T18:11:17.116335,0.1,LeNet5,18,0.10000000149011612,0.008919999934732914,0.10000000149011612,0.016378993168473244
2023-06-05T18:11:28.357568,0.1,LeNet5,19,0.10000000149011612,0.009820000268518925,0.10000000149011612,0.01788381114602089
2023-06-05T18:11:40.249372,0.1,LeNet5,20,0.10000000149011612,0.011350000277161598,0.10000000149011612,0.020386170595884323
2023-06-05T18:11:52.482667,0.1,LeNet5ReLU,1,0.10000000149011612,0.011350000277161598,0.10000000149011612,0.020386170595884323
2023-06-05T18:12:04.256772,0.1,LeNet5ReLU,2,0.10000000149011612,0.009820000268518925,0.10000000149011612,0.01788381114602089
2023-06-05T18:12:16.216238,0.1,LeNet5ReLU,3,0.10000000149011612,0.010320000350475311,0.10000000149011612,0.01870921067893505
2023-06-05T18:12:28.064607,0.1,LeNet5ReLU,4,0.10000000149011612,0.00974000059068203,0.10000000149011612,0.017751049250364304
2023-06-05T18:12:40.431383,0.1,LeNet5ReLU,5,0.10000000149011612,0.009800000116229057,0.10000000149011612,0.017850635573267937
2023-06-05T18:12:52.619464,0.1,LeNet5ReLU,6,0.10000000149011612,0.011350000277161598,0.10000000149011612,0.020386170595884323
2023-06-05T18:13:06.896249,0.1,LeNet5ReLU,7,0.10000000149011612,0.011350000277161598,0.10000000149011612,0.020386170595884323
2023-06-05T18:13:18.360653,0.1,LeNet5ReLU,8,0.10000000149011612,0.010100000537931919,0.10000000149011612,0.018346959725022316
2023-06-05T18:13:29.877316,0.1,LeNet5ReLU,9,0.10000000149011612,0.00974000059068203,0.10000000149011612,0.017751049250364304
2023-06-05T18:13:41.225774,0.1,LeNet5ReLU,10,0.10000000149011612,0.011350000277161598,0.10000000149011612,0.020386170595884323
2023-06-05T18:13:52.727507,0.1,LeNet5ReLU,11,0.10000000149011612,0.010280000045895576,0.10000000149011612,0.0186434518545866
2023-06-05T18:14:04.224832,0.1,LeNet5ReLU,12,0.10000000149011612,0.011350000277161598,0.10000000149011612,0.020386170595884323
2023-06-05T18:14:16.037437,0.1,LeNet5ReLU,13,0.10000000149011612,0.011350000277161598,0.10000000149011612,0.020386170595884323
2023-06-05T18:14:27.560783,0.1,LeNet5ReLU,14,0.10000000149011612,0.010100000537931919,0.10000000149011612,0.018346959725022316
2023-06-05T18:14:39.094106,0.1,LeNet5ReLU,15,0.10000000149011612,0.009800000116229057,0.10000000149011612,0.017850635573267937
2023-06-05T18:14:50.604617,0.1,LeNet5ReLU,16,0.10000000149011612,0.010280000045895576,0.10000000149011612,0.0186434518545866
2023-06-05T18:15:02.096624,0.1,LeNet5ReLU,17,0.10000000149011612,0.00974000059068203,0.10000000149011612,0.017751049250364304
2023-06-05T18:15:13.391981,0.1,LeNet5ReLU,18,0.10000000149011612,0.010100000537931919,0.10000000149011612,0.018346959725022316
2023-06-05T18:15:24.882009,0.1,LeNet5ReLU,19,0.10000000149011612,0.010100000537931919,0.10000000149011612,0.018346959725022316
2023-06-05T18:15:36.461230,0.1,LeNet5ReLU,20,0.10000000149011612,0.009800000116229057,0.10000000149011612,0.017850635573267937
2023-06-05T18:15:48.002352,0.1,LeNet5AvgPool,1,0.10000000149011612,0.010320000350475311,0.10000000149011612,0.01870921067893505
